symbol,sector,securityType,bidPrice,bidSize,askPrice,askSize,lastUpdated,lastSalePrice,lastSaleSize,lastSaleTime,volume
GLNG,transportation,cs,19.25,100,20.83,100,1657808990000,20.8,100,1657808835177,7537
VIRI,n/a,n/a,4.15,100,5.7,100,1657806999042,5.26,100,1657808419217,100
SDH,n/a,n/a,1.43,100,2.34,100,1657805401854,0.0,0,0,0
BBP,miscellaneous,et,0.0,0,0.0,0,1657805400000,0.0,0,0,0
WPRT,producermanufacturing,cs,1.05,1775,1.06,1600,1657808994523,1.05,25,1657808579009,166
NETZ,n/a,n/a,38.77,100,45.57,100,1657806302298,0.0,0,0,0
CREG,producermanufacturing,cs,2.93,100,3.92,100,1657806318654,0.0,0,0,0
BSGAR,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
RVSNW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
CHGX,miscellaneous,et,23.78,100,27.92,100,1657806311331,0.0,0,0,0
RELIW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
IBTE,miscellaneous,et,0.0,0,0.0,0,1657809003784,24.28,100,1657805452232,500
